Year,Month,Day,Rain(mm),PET(mm)
1999,8,29,0,7.794
1999,8,30,0,8.11
1999,8,31,0,8.111
1999,9,1,0,7.842
1999,9,2,0,7.741
1999,9,3,0,7.984
1999,9,4,0,8.062
1999,9,5,0,8.159
1999,9,6,0,7.904
1999,9,7,0,7.445
1999,9,8,0,7.604
1999,9,9,0,7.552
1999,9,10,0,7.813
1999,9,11,0,7.475
1999,9,12,0,7.203
1999,9,13,0,7.068
1999,9,14,0,8.089
1999,9,15,0,6.731
1999,9,16,0,7.571
1999,9,17,0,7.429
1999,9,18,0,6.634
1999,9,19,0,7.587
1999,9,20,0,7.318
1999,9,21,0,6.883
1999,9,22,0,7.004
1999,9,23,0,7.296
1999,9,24,0,7.168
1999,9,25,0,6.898
1999,9,26,0,7.078
1999,9,27,0,7.374
1999,9,28,0,6.48
1999,9,29,0,5.537
1999,9,30,0,4.522
1999,10,1,0,6.454
1999,10,2,0,7.253
1999,10,3,0,7.042
1999,10,4,0,6.195
1999,10,5,0,6.126
1999,10,6,0,5.838
1999,10,7,0,5.851
1999,10,8,0,5.825
1999,10,9,0.2,5.143
1999,10,10,0,5.133
1999,10,11,0,5.574
1999,10,12,0,6.276
1999,10,13,0,6.303
1999,10,14,0,5.397
1999,10,15,0,4.998
1999,10,16,0,4.899
1999,10,17,0,5.658
1999,10,18,0,5.424
1999,10,19,0,5.396
1999,10,20,0,5.685
1999,10,21,0,5.883
1999,10,22,0,6.455
1999,10,23,0,6.121
1999,10,24,0.2,5.36
1999,10,25,1.3,4.574
1999,10,26,0,4.833
1999,10,27,0,4.98
1999,10,28,0,5.005
1999,10,29,0,5.069
1999,10,30,0,4.984
1999,10,31,0,4.63
1999,11,1,0,5.052
1999,11,2,0,5.202
1999,11,3,0,4.061
1999,11,4,0,4.69
1999,11,5,0,3.64
1999,11,6,0,3.743
1999,11,7,0,4.371
1999,11,8,0,4.023
1999,11,9,0,4.127
1999,11,10,0,3.412
1999,11,11,0,3.962
1999,11,12,0,4.723
1999,11,13,0,4.305
1999,11,14,0,4.441
1999,11,15,0,4.326
1999,11,16,0,4.749
1999,11,17,0,3.929
1999,11,18,0,3.438
1999,11,19,0,2.94
1999,11,20,0,4.202
1999,11,21,0,5.423
1999,11,22,0,5.265
1999,11,23,0,3.482
1999,11,24,3.4,4.12
1999,11,25,0.1,3.489
1999,11,26,1.8,2.929
1999,11,27,0,3.517
1999,11,28,0,4.204
1999,11,29,0,3.707
1999,11,30,3.8,3.769
1999,12,1,0,2.879
1999,12,2,0,3.411
1999,12,3,0,3.609
1999,12,4,0,4.455
1999,12,5,0,3.744
1999,12,6,0,2.853
1999,12,7,0,3.845
1999,12,8,0,3.522
1999,12,9,0,3.303
1999,12,10,0,2.636
1999,12,11,0,2.996
1999,12,12,7.5,3.055
1999,12,13,17.1,2.343
1999,12,14,6.8,2.342
1999,12,15,0.8,1.962
1999,12,16,0,3.191
1999,12,17,0,3.846
1999,12,18,0,4.166
1999,12,19,0,3.83
1999,12,20,0,3.634
1999,12,21,0,4.147
1999,12,22,0,3.604
1999,12,23,0,4.061
1999,12,24,1.7,3.05
1999,12,25,0.9,2.713
1999,12,26,0.2,3.132
1999,12,27,0,2.432
1999,12,28,0,2.853
1999,12,29,0,3.932
1999,12,30,0,4.826
1999,12,31,0,4.11
2000,1,1,0,2.472060434
2000,1,2,0,2.295605348
2000,1,3,3.3,2.477199219
2000,1,4,23.7,0.952169569
2000,1,5,58.1,1.301265374
2000,1,6,2.5,1.095107153
2000,1,7,0.1,1.237833343
2000,1,8,0.2,1.720212535
2000,1,9,7.9,1.212820148
2000,1,10,2.8,0.951529021
2000,1,11,0,1.567502107
2000,1,12,0,1.372098439
2000,1,13,0,1.894200163
2000,1,14,0,2.200019477
2000,1,15,0,1.84733505
2000,1,16,0,1.612382776
2000,1,17,0,1.980240623
2000,1,18,7.1,2.819532901
2000,1,19,1,1.502511907
2000,1,20,50.8,2.258908413
2000,1,21,9,1.487056474
2000,1,22,0.8,1.378428119
2000,1,23,0,1.455090167
2000,1,24,0,2.428836217
2000,1,25,4,2.901041131
2000,1,26,10.4,0.821817745
2000,1,27,57.1,0.850632546
2000,1,28,9.9,0.464373832
2000,1,29,0,1.391247872
2000,1,30,0,2.045903806
2000,1,31,0,2.287964631
2000,2,1,0,1.573064683
2000,2,2,0,1.72826637
2000,2,3,0,2.268050895
2000,2,4,0,2.497761266
2000,2,5,2.6,1.892171507
2000,2,6,1,1.500855328
2000,2,7,0,2.088421739
2000,2,8,0,2.291027349
2000,2,9,0,2.338263644
2000,2,10,0,3.200538601
2000,2,11,0,2.709668244
2000,2,12,19.2,3.228496811
2000,2,13,11.6,0.540497715
2000,2,14,1.8,0.949251401
2000,2,15,0,2.131009507
2000,2,16,6.9,1.62790366
2000,2,17,0,1.697511359
2000,2,18,0,2.64323906
2000,2,19,0.3,3.091902305
2000,2,20,0,1.510698914
2000,2,21,0,2.322488529
2000,2,22,2.5,2.865096233
2000,2,23,1.2,1.726666549
2000,2,24,0,2.350128504
2000,2,25,0,2.247339193
2000,2,26,0,2.69858811
2000,2,27,2.8,1.586622355
2000,2,28,0.1,1.604519319
2000,2,29,5.7,2.596944914
2000,3,1,29.6,2.081746443
2000,3,2,1.3,1.713191263
2000,3,3,0,2.723892198
2000,3,4,1.2,2.345989708
2000,3,5,0,2.004836332
2000,3,6,3.5,2.29022422
2000,3,7,3.3,1.537302791
2000,3,8,0,2.025997166
2000,3,9,0,2.127311522
2000,3,10,0,2.676438107
2000,3,11,0,2.674852899
2000,3,12,0,2.560952699
2000,3,13,0,2.834335512
2000,3,14,0,2.823378792
2000,3,15,0,3.695966662
2000,3,16,0,3.972464702
2000,3,17,0,4.074698262
2000,3,18,0,4.179062886
2000,3,19,0,3.165681564
2000,3,20,0,3.445427639
2000,3,21,4.8,2.128983935
2000,3,22,0,1.619072535
2000,3,23,25.3,2.467015482
2000,3,24,1.1,1.902642279
2000,3,25,0,2.217933779
2000,3,26,0,3.49513723
2000,3,27,0,4.170806406
2000,3,28,0,4.563828541
2000,3,29,0,4.351804408
2000,3,30,0,4.746769542
2000,3,31,0,4.92702383
2000,4,1,0,5.502333099
2000,4,2,0,5.976705769
2000,4,3,0,4.299030487
2000,4,4,0,5.14075242
2000,4,5,0,5.047650222
2000,4,6,0,5.592171917
2000,4,7,0,3.944709987
2000,4,8,0.3,3.405200667
2000,4,9,0.5,2.762474239
2000,4,10,0,3.838229959
2000,4,11,0,5.066552295
2000,4,12,0,5.657749238
2000,4,13,0,7.207882956
2000,4,14,0,4.049579767
2000,4,15,0,4.308911724
2000,4,16,0,5.228351166
2000,4,17,0,5.098178368
2000,4,18,0,6.437768583
2000,4,19,0,6.012677143
2000,4,20,0,5.186216178
2000,4,21,0,4.570320006
2000,4,22,0,4.314564368
2000,4,23,0,4.249237498
2000,4,24,0,4.357199991
